Body,is_interview
"We’d love to schedule a 30-minute video conversation to learn more about your experience. Please use the link below to choose a time that works in your time zone. After you book, you’ll automatically receive a Zoom link and calendar invite with joining details.",Yes
Our hiring team would like to set up a phone screen this week. Share two or three windows of availability or pick a slot on our scheduler. We’ll confirm by email and attach an .ics file with the dial-in information and a brief agenda.,Yes
"Thank you for your interest in the Account Executive, Pharma Product Delivery role with Catalent Pharma Solutions. I would like to speak with you for a phone screen and have listed the available date and time below. Please reply with your preference and we’ll send a calendar invite with call details.",Yes
"We’ve had a chance to review your resume and would like to schedule a phone interview. When you get a moment, please schedule a 30-minute conversation on my calendar using the link below. You’ll receive an automated confirmation with the meeting link and an .ics attachment.",Yes
"Great news—your application has advanced to interviews. Please select a 45-minute slot for a Google Meet call using the page below. Once confirmed, you’ll see a calendar event with joining instructions, interviewer names, and any pre-call materials.",Yes
"Could you join our engineering manager for a 30-minute intro chat? Choose a time from the link, and we’ll send a Microsoft Teams invite right away. If none of the slots work, reply with a few options and your time zone so we can coordinate.",Yes
"We’re coordinating first-round interviews over the next few days. Please reply with three windows that work for you, including your time zone and phone number. We’ll confirm a time and send a calendar hold with dial-in details.",Yes
"Please use the scheduler below to arrange your video interview. After booking, you’ll get a confirmation email with an .ics attachment, the Zoom URL, and any pre-call prep. Let us know if accessibility accommodations are needed.",Yes
Are you available for a quick introductory call with our recruiter? Send a couple of times that work this week and a good contact number. We’ll confirm by email and include a calendar invite with the meeting link.,Yes
"We’d like to proceed with interviews. Reserve a slot using our Greenhouse scheduling link; it will generate a Google Meet invite automatically. If you prefer a phone call, mention it in your reply and we’ll adjust.",Yes
"Thanks again for applying. The team wants to meet you for a 30-minute conversation. Pick a time on the calendar page below, and watch for the Zoom details and calendar invite in your inbox.",Yes
"You’ve been selected for a technical interview. Please choose a time that suits you; once booked, an .ics file and instructions will be sent. If you need to reschedule, you can use the same link at any time.",Yes
Can you do a 25-minute phone screen tomorrow or Thursday? Share two or three times and your preferred number. We’ll send a calendar confirmation with the call details as soon as we lock it in.,Yes
"Please confirm a time for your panel interview via the Lever scheduler. The confirmation will include a Meet link, participants, and suggested topics. Let us know if you need extra time between sections.",Yes
"Our recruiter would love to speak with you about the role. Provide a few availability windows this week, and we’ll send a calendar hold with joining information. If you have any constraints, mention them in your reply.",Yes
"Use the scheduling link below to set up your interview. You’ll receive a confirmation email with the Zoom URL, passcode, and an .ics invite. Feel free to include any questions you’d like us to cover during the call.",Yes
We’re moving you forward to the next step in our process. Are you free for a 30-minute video chat? Choose a time that works and we’ll share the meeting link and brief agenda ahead of the call.,Yes
"Kindly select a slot for your interview using our scheduling page. As soon as you book, you’ll get a calendar file (.ics) with dial-in details and interviewer names. Reply if you prefer a phone call over video.",Yes
"We’d like to connect for a quick chat about your background. Send two to three options that fit your schedule, and we’ll confirm with a calendar invite. Please include your time zone to avoid confusion.",Yes
"Please schedule your interview here. The system will create a Teams meeting and email the invite immediately. If you encounter any issues with the link, let us know and we’ll schedule manually.",Yes
